Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^RETL-EU,DXN DLY RETAIL 2X BL (Estimated,https://finance.yahoo.com/chart/%5ERETL-EU,291.17,+499.84,+239.54%
^VEA-EU,Vanguard Europe Pacific ETF (es,https://finance.yahoo.com/chart/%5EVEA-EU,"2,980.70","+2,096.36",+237.05%
^ECML-EU,EUCLIDEAN FUNDAMENTAL VALUE ETF,https://finance.yahoo.com/chart/%5EECML-EU,"4,917.75","+3,451.98",+235.51%
^NYF-EU,iShares New York Muni Bond ETF,https://finance.yahoo.com/chart/%5ENYF-EU,"10,295.91","+7,124.04",+224.60%
^DGS-EU,WisdomTree Emerging Markets Sma,https://finance.yahoo.com/chart/%5EDGS-EU,"29,831.95","+54,812.24",+219.42%
^XLI-EU,Industrial Select Sector SPDR F,https://finance.yahoo.com/chart/%5EXLI-EU,910.11,+624.27,+218.40%
^TSPA-TC,T. ROWE PRICE U.S. EQUITY RESEA,https://finance.yahoo.com/chart/%5ETSPA-TC,"1,269.14",+869.97,+217.94%
^JHSC-TC,John Hancock Multifactor Small,https://finance.yahoo.com/chart/%5EJHSC-TC,"3,780.34","+2,571.03",+212.60%
^FIAT-EU,YIELDMAX SHORT COIN OPTION INCO,https://finance.yahoo.com/chart/%5EFIAT-EU,"14,186.46","+26,798.57",+212.48%
^FENY-EU,FIDELITY COVINGTON TRUST,https://finance.yahoo.com/chart/%5EFENY-EU,"2,503.47","+1,690.27",+207.85%
^RNEM-EU,Emerging Markets Equity Select,https://finance.yahoo.com/chart/%5ERNEM-EU,470.06,+923.74,+203.61%
^IVOO-EU,Vanguard S&P Mid Cap 400 (Estim,https://finance.yahoo.com/chart/%5EIVOO-EU,375.80,+251.13,+201.45%
^KLX-TC,Market Vectors Steel (Total Cas,https://finance.yahoo.com/chart/%5EKLX-TC,393.08,+260.62,+196.75%
^EDC-EU,Emerging Markets Bull 3x Shares,https://finance.yahoo.com/chart/%5EEDC-EU,18.59,+38.05,+195.53%
^XLE-EU,Energy Select Sector SPDR Fund,https://finance.yahoo.com/chart/%5EXLE-EU,722.23,"+1,482.05",+195.05%
^ARKQ-TC,ARK Autonomous Technology and R,https://finance.yahoo.com/chart/%5EARKQ-TC,"2,347.26","+1,551.56",+194.99%
^MUB-EU,iShares National Muni Bond ETF,https://finance.yahoo.com/chart/%5EMUB-EU,"93,794.23","+61,957.98",+194.61%
^MIDU-EU,Direxion Mid Cap Bull 3X Shares,https://finance.yahoo.com/chart/%5EMIDU-EU,513.32,"+1,061.51",+193.64%
^CONY-EU,YIELDMAX COIN OPTION INCOME STR,https://finance.yahoo.com/chart/%5ECONY-EU,"21,814.14","+47,006.15",+186.59%
^SOVF-EU,SOVEREIGN'S CAPITAL FLOURISH FU,https://finance.yahoo.com/chart/%5ESOVF-EU,"3,860.17","+2,506.61",+185.19%
^TYD-EU,Direxion Daily 10 Year Treasury,https://finance.yahoo.com/chart/%5ETYD-EU,32.94,+74.05,+180.13%
^TGRW-TC,T. Rowe Price Growth Stock ETF,https://finance.yahoo.com/chart/%5ETGRW-TC,"1,720.86","+1,105.33",+179.57%
^SIXH-EU,ETC 6 MERIDIAN HEDGED EQUITY IN,https://finance.yahoo.com/chart/%5ESIXH-EU,"2,595.63","+1,665.63",+179.10%
^SIXH-TC,ETC 6 MERIDIAN HEDGED EQUITY IN,https://finance.yahoo.com/chart/%5ESIXH-TC,"2,595.63","+1,665.63",+179.10%
^MDY-EU,Midcap SPDR Trust Series 1 (Est,https://finance.yahoo.com/chart/%5EMDY-EU,"2,119.86","+4,835.01",+178.08%
^MDY-EU,Midcap SPDR Trust Series 1 (Est,https://finance.yahoo.com/chart/%5EMDY-EU,"2,119.86","+4,835.01",+178.08%
