Symbol,company_url,Name,Link,Price_intraday,Change,Change_pct,Volume,Avg_Vol(3M),Market_Cap,P/E_Ratio(TTM)
MXF,https://finance.yahoo.com/quote/MXF/,"The Mexico Fund, Inc.",https://finance.yahoo.com/chart/MXF,13.17,-0.29,-2.15%,"89,429","79,926",194.546M,+3.18
RIOFF,https://finance.yahoo.com/quote/RIOFF/,Rio2 Limited,https://finance.yahoo.com/chart/RIOFF,0.46,+0.01,+2.92%,"1,000","169,801",194.331M,--
ETX,https://finance.yahoo.com/quote/ETX/,Eaton Vance Municipal Income 2028 Term Trust,https://finance.yahoo.com/chart/ETX,17.84,+0.01,+0.03%,"13,098","30,280",194.228M,--
ISTR,https://finance.yahoo.com/quote/ISTR/,Investar Holding Corporation,https://finance.yahoo.com/chart/ISTR,19.76,-0.24,-1.20%,"23,445","32,022",194.209M,+13.21
AMJT,https://finance.yahoo.com/quote/AMJT/,AMJ Global Technology,https://finance.yahoo.com/chart/AMJT,1.80,0.00,0.00%,100,32,194.008M,+171.16
BDMD,https://finance.yahoo.com/quote/BDMD/,Baird Medical Investment Holdings Limited,https://finance.yahoo.com/chart/BDMD,5.42,-1.20,-18.13%,"254,117",1.71M,193.92M,+6.72
ECRAF,https://finance.yahoo.com/quote/ECRAF/,Ecora Resources PLC,https://finance.yahoo.com/chart/ECRAF,0.78,0.00,0.00%,"5,000","46,308",193.906M,+10.19
AFCJF,https://finance.yahoo.com/quote/AFCJF/,AFC Ajax NV,https://finance.yahoo.com/chart/AFCJF,10.50,0.00,0.00%,"1,233",16,193.64M,-19.08
NWTN,https://finance.yahoo.com/quote/NWTN/,NWTN Inc.,https://finance.yahoo.com/chart/NWTN,0.68,-0.07,-8.83%,"10,039","437,160",193.606M,-3.91
PTTCF,https://finance.yahoo.com/quote/PTTCF/,Pact Group Holdings Ltd,https://finance.yahoo.com/chart/PTTCF,0.56,0.00,0.00%,"2,000",32,193.15M,+81.00
RELL,https://finance.yahoo.com/quote/RELL/,"Richardson Electronics, Ltd.",https://finance.yahoo.com/chart/RELL,13.43,+0.10,+0.75%,"47,645","63,340",193.131M,-346.63
CNLTL,https://finance.yahoo.com/quote/CNLTL/,The Connecticut Light and Power Company,https://finance.yahoo.com/chart/CNLTL,32.00,0.00,0.00%,400,229,193.126M,--
FFNW,https://finance.yahoo.com/quote/FFNW/,"First Financial Northwest, Inc.",https://finance.yahoo.com/chart/FFNW,20.91,-0.07,-0.33%,"29,234","26,944",193M,+190.49
BNIGF,https://finance.yahoo.com/quote/BNIGF/,BERONI GROUP LTD,https://finance.yahoo.com/chart/BNIGF,0.82,0.00,0.00%,27,31,192.929M,--
HYB,https://finance.yahoo.com/quote/HYB/,The New America High Income Fund Inc.,https://finance.yahoo.com/chart/HYB,8.25,0.00,0.00%,"47,145","47,208",192.841M,+9.66
BKN,https://finance.yahoo.com/quote/BKN/,BlackRock Investment Quality Municipal Trust Inc.,https://finance.yahoo.com/chart/BKN,11.20,+0.05,+0.45%,"27,614","74,714",192.705M,+28.05
MITT,https://finance.yahoo.com/quote/MITT/,"AG Mortgage Investment Trust, Inc.",https://finance.yahoo.com/chart/MITT,6.53,+0.06,+0.93%,"200,828","258,285",192.699M,+3.28
SMHI,https://finance.yahoo.com/quote/SMHI/,SEACOR Marine Holdings Inc.,https://finance.yahoo.com/chart/SMHI,6.97,-0.34,-4.65%,"104,304","242,760",192.688M,-3.83
RAMPF,https://finance.yahoo.com/quote/RAMPF/,Polaris Renewable Energy Inc.,https://finance.yahoo.com/chart/RAMPF,9.14,0.00,0.00%,700,"1,450",192.506M,+25.60
KMFG,https://finance.yahoo.com/quote/KMFG/,KEEMO FASHION GROUP LTD,https://finance.yahoo.com/chart/KMFG,3.50,0.00,0.00%,100,32,192.5M,--
FTEL,https://finance.yahoo.com/quote/FTEL/,Fitell Corporation,https://finance.yahoo.com/chart/FTEL,9.56,+0.36,+3.91%,"358,419","251,945",192.38M,-59.81
DMB,https://finance.yahoo.com/quote/DMB/,"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",https://finance.yahoo.com/chart/DMB,10.44,-0.01,-0.10%,"56,713","74,011",192.159M,+10.12
MRPMF,https://finance.yahoo.com/quote/MRPMF/,Marco Polo Marine Ltd.,https://finance.yahoo.com/chart/MRPMF,0.05,0.00,0.00%,"15,000","12,555",192.04M,+7.00
FSP,https://finance.yahoo.com/quote/FSP/,Franklin Street Properties Corp.,https://finance.yahoo.com/chart/FSP,1.85,+0.01,+0.54%,"204,086","425,145",191.599M,-4.71
LAKE,https://finance.yahoo.com/quote/LAKE/,"Lakeland Industries, Inc.",https://finance.yahoo.com/chart/LAKE,25.88,-0.59,-2.23%,"45,985","48,396",191.424M,--
CORBF,https://finance.yahoo.com/quote/CORBF/,Global Cord Blood Corporation,https://finance.yahoo.com/chart/CORBF,1.20,+0.20,+20.00%,500,"3,978",191.306M,+2.19
MLGF,https://finance.yahoo.com/quote/MLGF/,Malaga Financial Corporation,https://finance.yahoo.com/chart/MLGF,21.25,-0.45,-2.07%,"1,520","2,619",190.727M,+8.89
IVEVF,https://finance.yahoo.com/quote/IVEVF/,Inventiva S.A.,https://finance.yahoo.com/chart/IVEVF,3.64,0.00,0.00%,200,3,190.596M,-1.19
PVBC,https://finance.yahoo.com/quote/PVBC/,"Provident Bancorp, Inc.",https://finance.yahoo.com/chart/PVBC,10.74,-0.29,-2.63%,"12,070","33,322",190.42M,+34.81
NANX,https://finance.yahoo.com/quote/NANX/,Nanophase Technologies Corporation,https://finance.yahoo.com/chart/NANX,2.72,0.00,0.00%,"12,372","61,022",190.386M,+48.11
WNEB,https://finance.yahoo.com/quote/WNEB/,"Western New England Bancorp, Inc.",https://finance.yahoo.com/chart/WNEB,9.05,+0.16,+1.80%,"104,075","40,893",190.217M,+17.13
MGNX,https://finance.yahoo.com/quote/MGNX/,"MacroGenics, Inc.",https://finance.yahoo.com/chart/MGNX,3.03,-0.16,-5.02%,"599,662","572,513",190.173M,-2.41
SSP,https://finance.yahoo.com/quote/SSP/,The E.W. Scripps Company,https://finance.yahoo.com/chart/SSP,2.20,-0.10,-4.35%,"242,920","716,078",189.998M,-0.61
TTEC,https://finance.yahoo.com/quote/TTEC/,"TTEC Holdings, Inc.",https://finance.yahoo.com/chart/TTEC,3.98,-0.03,-0.75%,"229,093","394,191",189.961M,-0.70
BSII,https://finance.yahoo.com/quote/BSII/,Black Spade Acquisition II Co,https://finance.yahoo.com/chart/BSII,9.93,-0.01,-0.10%,161,"37,409",189.913M,--
DHF,https://finance.yahoo.com/quote/DHF/,BNY Mellon High Yield Strategies Fund,https://finance.yahoo.com/chart/DHF,2.61,0.00,0.00%,"202,018","242,365",189.842M,--
CGEN,https://finance.yahoo.com/quote/CGEN/,Compugen Ltd.,https://finance.yahoo.com/chart/CGEN,2.12,+0.11,+5.47%,2.4M,"520,180",189.817M,--
EARN,https://finance.yahoo.com/quote/EARN/,Ellington Credit Company,https://finance.yahoo.com/chart/EARN,6.59,+0.12,+1.85%,"426,605","474,467",189.794M,+6.39
