Symbol,company_url,Name,Link,Price_intraday,Change,Change_pct,Volume,Avg_Vol(3M),Market_Cap,P/E_Ratio(TTM)
AAPL,https://finance.yahoo.com/quote/AAPL/,Apple Inc.,https://finance.yahoo.com/chart/AAPL,228.26,-9.61,-4.04%,71.482M,45.54M,3.45T,+37.03
NVDA,https://finance.yahoo.com/quote/NVDA/,NVIDIA Corporation,https://finance.yahoo.com/chart/NVDA,133.57,-2.67,-1.96%,208.025M,212.603M,3.271T,--
TXGE,https://finance.yahoo.com/quote/TXGE/,"Texas Gulf Energy, Incorporated",https://finance.yahoo.com/chart/TXGE,"2,699.59",0.00,0.00%,451,60.487M,3.205T,-0.00
MSFT,https://finance.yahoo.com/quote/MSFT/,Microsoft Corporation,https://finance.yahoo.com/chart/MSFT,424.58,-1.73,-0.41%,15.264M,21.023M,3.157T,+35.11
GOOGL,https://finance.yahoo.com/quote/GOOGL/,Alphabet Inc.,https://finance.yahoo.com/chart/GOOGL,192.91,-2.64,-1.35%,17.752M,27.975M,2.372T,+23.74
GOOG,https://finance.yahoo.com/quote/GOOG/,Alphabet Inc.,https://finance.yahoo.com/chart/GOOG,194.41,-2.57,-1.30%,13.42M,19.31M,2.367T,+23.74
AMZN,https://finance.yahoo.com/quote/AMZN/,"Amazon.com, Inc.",https://finance.yahoo.com/chart/AMZN,220.66,-2.69,-1.20%,24.677M,37.856M,2.32T,+45.78
META,https://finance.yahoo.com/quote/META/,"Meta Platforms, Inc.",https://finance.yahoo.com/chart/META,611.30,-5.82,-0.94%,8.33M,12.598M,1.543T,+27.39
TSLA,https://finance.yahoo.com/quote/TSLA/,"Tesla, Inc.",https://finance.yahoo.com/chart/TSLA,413.82,-14.40,-3.36%,67.611M,93.352M,1.328T,+90.54
TSM,https://finance.yahoo.com/quote/TSM/,Taiwan Semiconductor Manufacturing Company Limited,https://finance.yahoo.com/chart/TSM,214.79,+7.99,+3.86%,35.768M,13.508M,1.114T,+25.87
AVGO,https://finance.yahoo.com/quote/AVGO/,Broadcom Inc.,https://finance.yahoo.com/chart/AVGO,229.41,+1.41,+0.62%,23.414M,28.595M,1.071T,+146.90
BRK-A,https://finance.yahoo.com/quote/BRK-A/,Berkshire Hathaway Inc.,https://finance.yahoo.com/chart/BRK-A,"692,904.00","+4,404.00",+0.64%,"1,079","1,695",997.387B,+9.45
BRK-B,https://finance.yahoo.com/quote/BRK-B/,Berkshire Hathaway Inc.,https://finance.yahoo.com/chart/BRK-B,462.81,+4.30,+0.94%,2.492M,4.022M,997.221B,+9.45
JPM,https://finance.yahoo.com/quote/JPM/,JPMorgan Chase & Co.,https://finance.yahoo.com/chart/JPM,254.27,+1.92,+0.76%,15.279M,9.048M,854.457B,+13.42
WMT,https://finance.yahoo.com/quote/WMT/,Walmart Inc.,https://finance.yahoo.com/chart/WMT,91.30,-0.04,-0.04%,9.667M,16.046M,733.892B,--
LLY,https://finance.yahoo.com/quote/LLY/,Eli Lilly and Company,https://finance.yahoo.com/chart/LLY,757.60,+10.86,+1.45%,3.062M,4.106M,681.322B,+87.77
V,https://finance.yahoo.com/quote/V/,Visa Inc.,https://finance.yahoo.com/chart/V,317.25,+0.97,+0.31%,3.582M,6.022M,613.933B,+31.81
XOM,https://finance.yahoo.com/quote/XOM/,Exxon Mobil Corporation,https://finance.yahoo.com/chart/XOM,111.32,-0.19,-0.17%,7.675M,14.945M,489.261B,+15.14
MA,https://finance.yahoo.com/quote/MA/,Mastercard Incorporated,https://finance.yahoo.com/chart/MA,523.14,+0.79,+0.15%,2.493M,2.587M,480.154B,+39.45
UNH,https://finance.yahoo.com/quote/UNH/,UnitedHealth Group Incorporated,https://finance.yahoo.com/chart/UNH,510.59,-32.83,-6.04%,7.905M,4.694M,469.888B,+39.38
BAC,https://finance.yahoo.com/quote/BAC/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC,46.64,-0.46,-0.98%,50.958M,34.527M,465.852B,+16.70
TCTZF,https://finance.yahoo.com/quote/TCTZF/,Tencent Holdings Limited,https://finance.yahoo.com/chart/TCTZF,48.80,-0.40,-0.81%,100,"11,657",447.015B,--
TCEHY,https://finance.yahoo.com/quote/TCEHY/,Tencent Holdings Limited,https://finance.yahoo.com/chart/TCEHY,48.77,+0.03,+0.06%,"967,352",2.578M,446.741B,--
ORCL,https://finance.yahoo.com/quote/ORCL/,Oracle Corporation,https://finance.yahoo.com/chart/ORCL,159.54,+1.23,+0.78%,7.828M,7.878M,442.095B,+48.87
COST,https://finance.yahoo.com/quote/COST/,Costco Wholesale Corporation,https://finance.yahoo.com/chart/COST,919.75,-3.75,-0.41%,1.346M,1.913M,407.517B,+56.38
HD,https://finance.yahoo.com/quote/HD/,"The Home Depot, Inc.",https://finance.yahoo.com/chart/HD,409.33,+3.24,+0.80%,1.849M,3.312M,406.613B,+27.87
PG,https://finance.yahoo.com/quote/PG/,The Procter & Gamble Company,https://finance.yahoo.com/chart/PG,160.50,+0.85,+0.53%,5.749M,6.75M,377.984B,+28.73
NONOF,https://finance.yahoo.com/quote/NONOF/,Novo Nordisk A/S,https://finance.yahoo.com/chart/NONOF,82.45,-0.56,-0.67%,200,"58,414",374.807B,+35.66
NVO,https://finance.yahoo.com/quote/NVO/,Novo Nordisk A/S,https://finance.yahoo.com/chart/NVO,83.07,+0.15,+0.18%,5.658M,7.031M,372.726B,+35.66
NFLX,https://finance.yahoo.com/quote/NFLX/,"Netflix, Inc.",https://finance.yahoo.com/chart/NFLX,842.37,-5.89,-0.69%,4.015M,3.257M,360.078B,+47.04
LVMUY,https://finance.yahoo.com/quote/LVMUY/,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",https://finance.yahoo.com/chart/LVMUY,144.17,+0.05,+0.03%,"204,340","396,963",359.825B,+20.55
LVMHF,https://finance.yahoo.com/quote/LVMHF/,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",https://finance.yahoo.com/chart/LVMHF,716.80,-3.68,-0.51%,"1,194","5,424",357.804B,+20.55
JNJ,https://finance.yahoo.com/quote/JNJ/,Johnson & Johnson,https://finance.yahoo.com/chart/JNJ,147.77,+2.80,+1.93%,7.229M,7.808M,355.774B,+25.22
JPM-PD,https://finance.yahoo.com/quote/JPM-PD/,JPMorgan Chase & Co.,https://finance.yahoo.com/chart/JPM-PD,25.05,+0.15,+0.60%,"97,988","120,164",335.727B,+13.42
JPM-PC,https://finance.yahoo.com/quote/JPM-PC/,JPMorgan Chase & Co.,https://finance.yahoo.com/chart/JPM-PC,25.39,-0.02,-0.08%,"110,637","138,152",330.962B,+13.42
BML-PH,https://finance.yahoo.com/quote/BML-PH/,Bank of America Corporation,https://finance.yahoo.com/chart/BML-PH,22.89,+0.14,+0.59%,"39,398","20,377",321.688B,+16.70
BML-PG,https://finance.yahoo.com/quote/BML-PG/,Bank of America Corporation,https://finance.yahoo.com/chart/BML-PG,22.73,+0.08,+0.35%,"9,247","8,711",320.441B,+16.70
BML-PL,https://finance.yahoo.com/quote/BML-PL/,Bank of America Corporation,https://finance.yahoo.com/chart/BML-PL,23.85,-0.04,-0.17%,"12,135","20,038",315.922B,+16.70
BAC-PE,https://finance.yahoo.com/quote/BAC-PE/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC-PE,23.95,+0.02,+0.08%,"11,213","14,999",312.059B,+16.70
BAC-PK,https://finance.yahoo.com/quote/BAC-PK/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC-PK,24.86,+0.09,+0.36%,"76,585","58,766",309.624B,+16.70
ABBV,https://finance.yahoo.com/quote/ABBV/,AbbVie Inc.,https://finance.yahoo.com/chart/ABBV,173.70,+2.35,+1.37%,4.326M,6.39M,306.952B,+59.36
CRM,https://finance.yahoo.com/quote/CRM/,"Salesforce, Inc.",https://finance.yahoo.com/chart/CRM,320.00,-1.16,-0.36%,5.047M,6.005M,306.24B,--
SAP,https://finance.yahoo.com/quote/SAP/,SAP SE,https://finance.yahoo.com/chart/SAP,261.58,-0.21,-0.08%,"622,301","928,659",305.133B,+94.49
SAPGF,https://finance.yahoo.com/quote/SAPGF/,SAP SE,https://finance.yahoo.com/chart/SAPGF,260.72,-1.28,-0.49%,"1,464","25,863",304.13B,+94.49
BAC-PL,https://finance.yahoo.com/quote/BAC-PL/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC-PL,"1,230.00",+7.00,+0.57%,"4,215","6,799",303.714B,+16.70
SSNLF,https://finance.yahoo.com/quote/SSNLF/,"Samsung Electronics Co., Ltd.",https://finance.yahoo.com/chart/SSNLF,40.60,0.00,0.00%,200,3,301.846B,+10.76
IDCBY,https://finance.yahoo.com/quote/IDCBY/,Industrial and Commercial Bank of China Limited,https://finance.yahoo.com/chart/IDCBY,12.75,+0.01,+0.08%,288,"52,339",301.773B,+4.40
ASMLF,https://finance.yahoo.com/quote/ASMLF/,ASML Holding N.V.,https://finance.yahoo.com/chart/ASMLF,749.78,-15.22,-1.99%,57,"1,095",298.168B,+35.70
ASML,https://finance.yahoo.com/quote/ASML/,ASML Holding N.V.,https://finance.yahoo.com/chart/ASML,750.28,+23.98,+3.30%,2.329M,1.749M,297.843B,+35.70
IDCBF,https://finance.yahoo.com/quote/IDCBF/,Industrial and Commercial Bank of China Limited,https://finance.yahoo.com/chart/IDCBF,0.61,0.00,0.00%,"1,000","4,980",285.902B,+4.40
CVX,https://finance.yahoo.com/quote/CVX/,Chevron Corporation,https://finance.yahoo.com/chart/CVX,159.38,+1.05,+0.66%,4.404M,8.06M,284.162B,+17.51
RCIT,https://finance.yahoo.com/quote/RCIT/,"Reelcause, Inc.",https://finance.yahoo.com/chart/RCIT,"2,133.20",0.00,0.00%,700,"1,400",278.88B,-11.89
GDVTZ,https://finance.yahoo.com/quote/GDVTZ/,"Gould Investors, L.P.",https://finance.yahoo.com/chart/GDVTZ,400.00,0.00,0.00%,36,3,272.79B,--
HESAF,https://finance.yahoo.com/quote/HESAF/,Hermès International Société en commandite par actions,https://finance.yahoo.com/chart/HESAF,"2,580.13",+25.13,+0.98%,12,181,272.433B,+47.20
HESAY,https://finance.yahoo.com/quote/HESAY/,Hermès International Société en commandite par actions,https://finance.yahoo.com/chart/HESAY,256.01,+0.47,+0.18%,"6,865","51,944",268.716B,+47.20
KO,https://finance.yahoo.com/quote/KO/,The Coca-Cola Company,https://finance.yahoo.com/chart/KO,62.25,+0.48,+0.78%,9.557M,16.991M,268.161B,+26.15
MRK,https://finance.yahoo.com/quote/MRK/,"Merck & Co., Inc.",https://finance.yahoo.com/chart/MRK,100.70,+0.61,+0.61%,5.891M,11.16M,254.735B,+20.61
BML-PJ,https://finance.yahoo.com/quote/BML-PJ/,Bank of America Corporation,https://finance.yahoo.com/chart/BML-PJ,23.16,+0.10,+0.43%,"3,673","24,938",253.267B,+16.70
WFC,https://finance.yahoo.com/quote/WFC/,Wells Fargo & Company,https://finance.yahoo.com/chart/WFC,75.95,0.00,0.00%,16.993M,17.102M,252.875B,+15.20
BAC-PB,https://finance.yahoo.com/quote/BAC-PB/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC-PB,25.38,+0.04,+0.16%,"134,557","80,275",252.278B,+16.70
TMUS,https://finance.yahoo.com/quote/TMUS/,"T-Mobile US, Inc.",https://finance.yahoo.com/chart/TMUS,215.75,+1.55,+0.72%,2.409M,3.748M,250.376B,+27.50
RHHBF,https://finance.yahoo.com/quote/RHHBF/,Roche Holding AG,https://finance.yahoo.com/chart/RHHBF,309.61,0.00,0.00%,150,166,244.534B,+19.88
ACGBY,https://finance.yahoo.com/quote/ACGBY/,Agricultural Bank of China Limited,https://finance.yahoo.com/chart/ACGBY,13.52,+0.02,+0.15%,700,"20,632",239.25B,+4.86
TM,https://finance.yahoo.com/quote/TM/,Toyota Motor Corporation,https://finance.yahoo.com/chart/TM,181.48,-3.36,-1.82%,"392,219","403,614",238.454B,+8.40
TOYOF,https://finance.yahoo.com/quote/TOYOF/,Toyota Motor Corporation,https://finance.yahoo.com/chart/TOYOF,18.14,-0.04,-0.22%,"2,303","188,196",238.349B,+8.40
CSCO,https://finance.yahoo.com/quote/CSCO/,"Cisco Systems, Inc.",https://finance.yahoo.com/chart/CSCO,59.82,-0.16,-0.27%,18.431M,19.022M,238.249B,+25.44
MS,https://finance.yahoo.com/quote/MS/,Morgan Stanley,https://finance.yahoo.com/chart/MS,135.81,+5.26,+4.03%,13.85M,6.578M,237.667B,+20.22
RHHVF,https://finance.yahoo.com/quote/RHHVF/,Roche Holding AG,https://finance.yahoo.com/chart/RHHVF,294.79,0.00,0.00%,150,"4,155",236.138B,+19.88
RHHBY,https://finance.yahoo.com/quote/RHHBY/,Roche Holding AG,https://finance.yahoo.com/chart/RHHBY,36.67,-0.02,-0.05%,"366,077",1.271M,235.183B,+19.88
ACGBF,https://finance.yahoo.com/quote/ACGBF/,Agricultural Bank of China Limited,https://finance.yahoo.com/chart/ACGBF,0.50,0.00,0.00%,"3,000","23,453",232.349B,+4.86
GS,https://finance.yahoo.com/quote/GS/,"The Goldman Sachs Group, Inc.",https://finance.yahoo.com/chart/GS,612.99,+7.07,+1.17%,2.859M,2.121M,231.438B,+17.45
BABAF,https://finance.yahoo.com/quote/BABAF/,Alibaba Group Holding Limited,https://finance.yahoo.com/chart/BABAF,10.29,0.00,0.00%,100,"69,826",224.732B,--
AXP,https://finance.yahoo.com/quote/AXP/,American Express Company,https://finance.yahoo.com/chart/AXP,311.48,-0.84,-0.27%,2.355M,2.554M,219.421B,+21.19
ACN,https://finance.yahoo.com/quote/ACN/,Accenture plc,https://finance.yahoo.com/chart/ACN,350.56,+2.31,+0.66%,1.473M,2.478M,219.05B,+32.38
NOW,https://finance.yahoo.com/quote/NOW/,"ServiceNow, Inc.",https://finance.yahoo.com/chart/NOW,"1,057.16",+3.03,+0.29%,"492,760",1.27M,218.11B,+162.70
TMO,https://finance.yahoo.com/quote/TMO/,Thermo Fisher Scientific Inc.,https://finance.yahoo.com/chart/TMO,561.71,+10.24,+1.86%,1.402M,1.891M,214.854B,+33.97
BX,https://finance.yahoo.com/quote/BX/,Blackstone Inc.,https://finance.yahoo.com/chart/BX,176.72,+1.58,+0.90%,2.565M,3.282M,214.34B,+62.68
NSRGY,https://finance.yahoo.com/quote/NSRGY/,Nestlé S.A.,https://finance.yahoo.com/chart/NSRGY,81.40,+0.02,+0.02%,"119,955",1.222M,209.305B,+18.20
NSRGF,https://finance.yahoo.com/quote/NSRGF/,Nestlé S.A.,https://finance.yahoo.com/chart/NSRGF,81.34,-0.06,-0.07%,507,"76,419",209.202B,+18.20
PCCYF,https://finance.yahoo.com/quote/PCCYF/,PetroChina Company Limited,https://finance.yahoo.com/chart/PCCYF,0.81,-0.01,-1.21%,"37,500","70,652",208.114B,+5.82
ISRG,https://finance.yahoo.com/quote/ISRG/,"Intuitive Surgical, Inc.",https://finance.yahoo.com/chart/ISRG,584.08,+3.97,+0.68%,2.118M,1.387M,208.037B,+86.32
AZN,https://finance.yahoo.com/quote/AZN/,AstraZeneca PLC,https://finance.yahoo.com/chart/AZN,66.91,+1.23,+1.87%,3.776M,5.986M,207.463B,+31.09
RYDAF,https://finance.yahoo.com/quote/RYDAF/,Shell plc,https://finance.yahoo.com/chart/RYDAF,33.41,0.00,0.00%,"1,489","4,714",207.429B,+13.26
LIN,https://finance.yahoo.com/quote/LIN/,Linde plc,https://finance.yahoo.com/chart/LIN,432.49,+4.51,+1.05%,1.502M,2.16M,205.934B,+34.62
IBM,https://finance.yahoo.com/quote/IBM/,International Business Machines Corporation,https://finance.yahoo.com/chart/IBM,222.66,+2.63,+1.20%,3.327M,4.103M,205.881B,+30.87
AZNCF,https://finance.yahoo.com/quote/AZNCF/,AstraZeneca PLC,https://finance.yahoo.com/chart/AZNCF,132.13,+1.75,+1.34%,"1,000","2,662",204.844B,+31.09
SHEL,https://finance.yahoo.com/quote/SHEL/,Shell plc,https://finance.yahoo.com/chart/SHEL,66.45,+0.09,+0.14%,3.621M,4.265M,202.908B,+13.26
PEP,https://finance.yahoo.com/quote/PEP/,"PepsiCo, Inc.",https://finance.yahoo.com/chart/PEP,146.54,+1.76,+1.22%,5.041M,6.13M,201.051B,+24.31
MCD,https://finance.yahoo.com/quote/MCD/,McDonald's Corporation,https://finance.yahoo.com/chart/MCD,279.74,-2.56,-0.91%,2.627M,3.647M,200.467B,+26.11
CICHY,https://finance.yahoo.com/quote/CICHY/,China Construction Bank Corporation,https://finance.yahoo.com/chart/CICHY,15.58,+0.08,+0.52%,"1,253","70,780",198.461B,+4.23
NVSEF,https://finance.yahoo.com/quote/NVSEF/,Novartis AG,https://finance.yahoo.com/chart/NVSEF,99.00,-3.88,-3.77%,276,"29,532",197.928B,+18.16
WFC-PY,https://finance.yahoo.com/quote/WFC-PY/,Wells Fargo & Company,https://finance.yahoo.com/chart/WFC-PY,24.23,+0.08,+0.33%,"38,502","51,803",197.847B,+15.20
C,https://finance.yahoo.com/quote/C/,Citigroup Inc.,https://finance.yahoo.com/chart/C,78.51,+0.24,+0.31%,17.669M,14.223M,197.578B,+19.76
ABT,https://finance.yahoo.com/quote/ABT/,Abbott Laboratories,https://finance.yahoo.com/chart/ABT,113.91,+2.81,+2.53%,5.588M,5.051M,197.572B,+35.18
BABA,https://finance.yahoo.com/quote/BABA/,Alibaba Group Holding Limited,https://finance.yahoo.com/chart/BABA,82.43,-0.01,-0.01%,6.931M,14.157M,196.82B,--
BACHY,https://finance.yahoo.com/quote/BACHY/,Bank of China Limited,https://finance.yahoo.com/chart/BACHY,12.43,-0.02,-0.16%,304,"35,621",196.803B,+4.59
NVS,https://finance.yahoo.com/quote/NVS/,Novartis AG,https://finance.yahoo.com/chart/NVS,97.86,-1.21,-1.22%,3.112M,1.245M,195.649B,+18.16
GE,https://finance.yahoo.com/quote/GE/,GE Aerospace,https://finance.yahoo.com/chart/GE,179.74,-0.55,-0.31%,5.209M,5.11M,194.531B,+36.70
DIS,https://finance.yahoo.com/quote/DIS/,The Walt Disney Company,https://finance.yahoo.com/chart/DIS,106.46,-1.72,-1.59%,6.111M,9.112M,192.793B,+39.35
AMD,https://finance.yahoo.com/quote/AMD/,"Advanced Micro Devices, Inc.",https://finance.yahoo.com/chart/AMD,118.44,-1.52,-1.27%,29.282M,36.678M,192.206B,+123.47
WFC-PL,https://finance.yahoo.com/quote/WFC-PL/,Wells Fargo & Company,https://finance.yahoo.com/chart/WFC-PL,"1,221.00",+6.00,+0.49%,"18,412","8,773",190.831B,+15.20
CICHF,https://finance.yahoo.com/quote/CICHF/,China Construction Bank Corporation,https://finance.yahoo.com/chart/CICHF,0.76,0.00,0.00%,"4,000","59,078",188.418B,+4.23
BACHF,https://finance.yahoo.com/quote/BACHF/,Bank of China Limited,https://finance.yahoo.com/chart/BACHF,0.48,0.00,0.00%,"1,000","48,940",188.083B,+4.59
ADBE,https://finance.yahoo.com/quote/ADBE/,Adobe Inc.,https://finance.yahoo.com/chart/ADBE,426.93,+9.65,+2.31%,4.181M,3.672M,187.935B,+45.07
LRLCF,https://finance.yahoo.com/quote/LRLCF/,L'Oréal S.A.,https://finance.yahoo.com/chart/LRLCF,349.52,+7.52,+2.20%,3,"2,055",186.522B,+27.05
PM,https://finance.yahoo.com/quote/PM/,Philip Morris International Inc.,https://finance.yahoo.com/chart/PM,119.80,+1.29,+1.09%,5.917M,5.238M,186.269B,+19.88
LRLCY,https://finance.yahoo.com/quote/LRLCY/,L'Oréal S.A.,https://finance.yahoo.com/chart/LRLCY,69.75,-0.04,-0.06%,"43,791","373,937",186.112B,+27.05
HBCYF,https://finance.yahoo.com/quote/HBCYF/,HSBC Holdings plc,https://finance.yahoo.com/chart/HBCYF,10.05,+0.05,+0.50%,"14,050","15,340",186.073B,+7.42
CAT,https://finance.yahoo.com/quote/CAT/,Caterpillar Inc.,https://finance.yahoo.com/chart/CAT,380.55,+5.66,+1.51%,1.547M,2.066M,183.73B,+17.97
HSBC,https://finance.yahoo.com/quote/HSBC/,HSBC Holdings plc,https://finance.yahoo.com/chart/HSBC,50.81,+0.77,+1.54%,1.734M,1.12M,182.708B,+7.42
QCOM,https://finance.yahoo.com/quote/QCOM/,QUALCOMM Incorporated,https://finance.yahoo.com/chart/QCOM,161.43,-2.98,-1.81%,7.184M,8.111M,179.349B,+17.94
CMWAY,https://finance.yahoo.com/quote/CMWAY/,Commonwealth Bank of Australia,https://finance.yahoo.com/chart/CMWAY,97.09,-1.64,-1.66%,510,"19,560",175.533B,+26.59
DHR,https://finance.yahoo.com/quote/DHR/,Danaher Corporation,https://finance.yahoo.com/chart/DHR,241.90,+3.93,+1.65%,3.149M,3.149M,174.718B,+45.56
TXN,https://finance.yahoo.com/quote/TXN/,Texas Instruments Incorporated,https://finance.yahoo.com/chart/TXN,187.37,-10.14,-5.13%,7.458M,5.721M,170.922B,+38.25
INTU,https://finance.yahoo.com/quote/INTU/,Intuit Inc.,https://finance.yahoo.com/chart/INTU,607.27,-14.18,-2.28%,2.833M,1.593M,169.985B,--
RY,https://finance.yahoo.com/quote/RY/,Royal Bank of Canada,https://finance.yahoo.com/chart/RY,120.08,+0.30,+0.25%,"737,970",1.137M,169.093B,+13.63
IDEXF,https://finance.yahoo.com/quote/IDEXF/,"Industria de Diseño Textil, S.A.",https://finance.yahoo.com/chart/IDEXF,51.79,0.00,0.00%,358,"2,656",161.878B,+28.08
VZ,https://finance.yahoo.com/quote/VZ/,Verizon Communications Inc.,https://finance.yahoo.com/chart/VZ,38.34,+0.16,+0.42%,21.678M,19.141M,161.397B,+17.79
BKNG,https://finance.yahoo.com/quote/BKNG/,Booking Holdings Inc.,https://finance.yahoo.com/chart/BKNG,"4,865.00",+35.36,+0.73%,"188,258","226,727",161.015B,+34.18
RTX,https://finance.yahoo.com/quote/RTX/,RTX Corporation,https://finance.yahoo.com/chart/RTX,120.46,+1.37,+1.15%,2.771M,4.617M,160.335B,+35.23
CBAUF,https://finance.yahoo.com/quote/CBAUF/,Commonwealth Bank of Australia,https://finance.yahoo.com/chart/CBAUF,91.15,0.00,0.00%,200,140,160.11B,+26.59
T,https://finance.yahoo.com/quote/T/,AT&T Inc.,https://finance.yahoo.com/chart/T,22.02,+0.11,+0.50%,19.676M,34.949M,158B,+18.17
PLTR,https://finance.yahoo.com/quote/PLTR/,Palantir Technologies Inc.,https://finance.yahoo.com/chart/PLTR,69.24,+1.10,+1.61%,62.097M,78.931M,157.73B,+303.75
SIEGY,https://finance.yahoo.com/quote/SIEGY/,Siemens Aktiengesellschaft,https://finance.yahoo.com/chart/SIEGY,100.51,+0.01,+0.01%,"36,153","143,242",157.442B,+18.00
SMAWF,https://finance.yahoo.com/quote/SMAWF/,Siemens Aktiengesellschaft,https://finance.yahoo.com/chart/SMAWF,200.55,0.00,0.00%,252,"1,927",157.074B,+18.00
IDEXY,https://finance.yahoo.com/quote/IDEXY/,"Industria de Diseño Textil, S.A.",https://finance.yahoo.com/chart/IDEXY,25.20,-0.67,-2.59%,"75,942","223,688",156.899B,+28.08
SPGI,https://finance.yahoo.com/quote/SPGI/,S&P Global Inc.,https://finance.yahoo.com/chart/SPGI,505.16,+8.64,+1.74%,1.213M,1.285M,156.751B,+45.09
DTEGY,https://finance.yahoo.com/quote/DTEGY/,Deutsche Telekom AG,https://finance.yahoo.com/chart/DTEGY,31.21,+0.01,+0.03%,"16,017","271,611",155.383B,--
MBFJF,https://finance.yahoo.com/quote/MBFJF/,"Mitsubishi UFJ Financial Group, Inc.",https://finance.yahoo.com/chart/MBFJF,12.00,+0.03,+0.25%,276,"24,409",155.2B,--
ARM,https://finance.yahoo.com/quote/ARM/,Arm Holdings plc,https://finance.yahoo.com/chart/ARM,147.52,+0.12,+0.08%,4.347M,5.075M,155.044B,+225.39
BLK,https://finance.yahoo.com/quote/BLK/,"BlackRock, Inc.",https://finance.yahoo.com/chart/BLK,995.72,-17.46,-1.72%,"784,324","685,755",154.216B,+25.45
AMAT,https://finance.yahoo.com/quote/AMAT/,"Applied Materials, Inc.",https://finance.yahoo.com/chart/AMAT,186.48,+8.10,+4.54%,10.821M,6.58M,153.735B,+20.53
DTEGF,https://finance.yahoo.com/quote/DTEGF/,Deutsche Telekom AG,https://finance.yahoo.com/chart/DTEGF,30.74,+0.04,+0.13%,100,"7,588",153.043B,--
FMXUF,https://finance.yahoo.com/quote/FMXUF/,"Fomento Económico Mexicano, S.A.B. de C.V.",https://finance.yahoo.com/chart/FMXUF,8.76,0.00,0.00%,200,823,151.25B,+21.97
PFE,https://finance.yahoo.com/quote/PFE/,Pfizer Inc.,https://finance.yahoo.com/chart/PFE,26.49,+0.27,+1.03%,24.714M,43.392M,150.119B,+35.71
HDB,https://finance.yahoo.com/quote/HDB/,HDFC Bank Limited,https://finance.yahoo.com/chart/HDB,58.64,-0.52,-0.88%,1.771M,2.624M,149.432B,+18.55
ANET,https://finance.yahoo.com/quote/ANET/,Arista Networks Inc,https://finance.yahoo.com/chart/ANET,118.13,+2.03,+1.75%,4.631M,7.38M,148.815B,+47.45
SBGSF,https://finance.yahoo.com/quote/SBGSF/,Schneider Electric S.E.,https://finance.yahoo.com/chart/SBGSF,262.61,+1.38,+0.53%,75,"1,408",147.446B,+35.37
NEE,https://finance.yahoo.com/quote/NEE/,"NextEra Energy, Inc.",https://finance.yahoo.com/chart/NEE,71.37,+2.08,+3.00%,11.457M,10.488M,146.765B,+21.99
SBGSY,https://finance.yahoo.com/quote/SBGSY/,Schneider Electric S.E.,https://finance.yahoo.com/chart/SBGSY,52.20,-0.08,-0.15%,"44,656","216,873",146.543B,+35.37
LOW,https://finance.yahoo.com/quote/LOW/,"Lowe's Companies, Inc.",https://finance.yahoo.com/chart/LOW,258.78,+2.06,+0.80%,1.571M,2.382M,146.12B,--
SYK,https://finance.yahoo.com/quote/SYK/,Stryker Corporation,https://finance.yahoo.com/chart/SYK,381.79,+13.18,+3.58%,1.512M,1.297M,145.544B,+41.64
MUFG,https://finance.yahoo.com/quote/MUFG/,"Mitsubishi UFJ Financial Group, Inc.",https://finance.yahoo.com/chart/MUFG,12.08,-0.16,-1.31%,2.898M,2.031M,145.5B,--
FMX,https://finance.yahoo.com/quote/FMX/,"Fomento Económico Mexicano, S.A.B. de C.V.",https://finance.yahoo.com/chart/FMX,82.29,-1.19,-1.43%,"495,484","565,172",144.95B,+21.97
AMGN,https://finance.yahoo.com/quote/AMGN/,Amgen Inc.,https://finance.yahoo.com/chart/AMGN,269.43,+0.49,+0.18%,2.681M,3.51M,144.828B,+38.48
HON,https://finance.yahoo.com/quote/HON/,Honeywell International Inc.,https://finance.yahoo.com/chart/HON,222.69,+3.15,+1.43%,4.607M,4.457M,144.804B,+26.93
BSX,https://finance.yahoo.com/quote/BSX/,Boston Scientific Corporation,https://finance.yahoo.com/chart/BSX,98.17,+1.28,+1.32%,4.054M,5.759M,144.686B,+73.43
UBER,https://finance.yahoo.com/quote/UBER/,"Uber Technologies, Inc.",https://finance.yahoo.com/chart/UBER,68.58,+1.56,+2.33%,25.566M,24.316M,144.41B,+35.24
PGR,https://finance.yahoo.com/quote/PGR/,The Progressive Corporation,https://finance.yahoo.com/chart/PGR,245.54,+3.07,+1.27%,1.895M,2.417M,143.84B,+18.99
CIHKY,https://finance.yahoo.com/quote/CIHKY/,"China Merchants Bank Co., Ltd.",https://finance.yahoo.com/chart/CIHKY,26.66,-0.06,-0.22%,"16,619","41,319",143.791B,+6.75
UNP,https://finance.yahoo.com/quote/UNP/,Union Pacific Corporation,https://finance.yahoo.com/chart/UNP,234.89,+4.03,+1.75%,2.294M,2.624M,142.404B,+22.10
KKR,https://finance.yahoo.com/quote/KKR/,KKR & Co. Inc.,https://finance.yahoo.com/chart/KKR,153.24,+2.74,+1.82%,3.447M,3.309M,141.41B,+47.20
